"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","COUNTY","GEORGIA","13","CENTRAL","50","BLECKLEY","023","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","5,144","24.8"
"CENSUS","2017","YEAR","","COUNTY","GEORGIA","13","CENTRAL","50","CRAWFORD","079","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","GEORGIA","13","CENTRAL","50","DODGE","091","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","12,960","24.8"
"CENSUS","2017","YEAR","","COUNTY","GEORGIA","13","CENTRAL","50","HOUSTON","153","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","4,252","24.8"
"CENSUS","2017","YEAR","","COUNTY","GEORGIA","13","CENTRAL","50","JOHNSON","167","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","2,565","24.8"
"CENSUS","2017","YEAR","","COUNTY","GEORGIA","13","CENTRAL","50","LAURENS","175","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","10,493","24.8"
"CENSUS","2017","YEAR","","COUNTY","GEORGIA","13","CENTRAL","50","MONTGOMERY","209","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","7,975","24.8"
"CENSUS","2017","YEAR","","COUNTY","GEORGIA","13","CENTRAL","50","MORGAN","211","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","2,075","24.8"
"CENSUS","2017","YEAR","","COUNTY","GEORGIA","13","CENTRAL","50","NEWTON","217","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","GEORGIA","13","CENTRAL","50","PEACH","225","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","1,545","24.8"
"CENSUS","2017","YEAR","","COUNTY","GEORGIA","13","CENTRAL","50","PULASKI","235","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED","10,033","24.8"
"CENSUS","2017","YEAR","","COUNTY","GEORGIA","13","CENTRAL","50","PUTNAM","237","","","00000000","","COTTON","COTTON, UPLAND - ACRES HARVESTED","TOTAL","NOT SPECIFIED"," (D)","(D)"
